epoch,accuracy,loss,val_accuracy,val_loss
0,0.620233416557312,1.155802845954895,0.8138769865036011,0.6511371731758118
1,0.7931459546089172,0.6514819264411926,0.8470897674560547,0.5331037640571594
2,0.829224169254303,0.5418609976768494,0.8520223498344421,0.4917023479938507
3,0.8390039205551147,0.5064369440078735,0.8684643507003784,0.45852816104888916
4,0.8496876955032349,0.4788675606250763,0.8786583542823792,0.42352309823036194
5,0.856097936630249,0.4450095593929291,0.861887514591217,0.4561319947242737
6,0.8575772643089294,0.43943262100219727,0.8714239001274109,0.4376915991306305
7,0.8616042137145996,0.4331444799900055,0.8783295154571533,0.40675872564315796
8,0.8653846383094788,0.42661815881729126,0.8710950613021851,0.41808030009269714
9,0.8674392104148865,0.41401076316833496,0.8786583542823792,0.42841920256614685
10,0.8650558590888977,0.41464051604270935,0.8766853213310242,0.4213147461414337
11,0.8690828680992126,0.4013921022415161,0.8842486143112183,0.40696021914482117
12,0.8630834817886353,0.4189331531524658,0.8806313872337341,0.3974830210208893
13,0.8681788444519043,0.40512335300445557,0.8895100355148315,0.36752593517303467
14,0.8682610392570496,0.41068243980407715,0.8822755813598633,0.4011474549770355
15,0.8698225021362305,0.39229217171669006,0.892469584941864,0.37620577216148376
16,0.8731098175048828,0.39141008257865906,0.8970733284950256,0.3775959014892578
17,0.8726989030838013,0.39457038044929504,0.8911542296409607,0.3837859034538269
18,0.8706443309783936,0.39128825068473816,0.9016770720481873,0.36055442690849304
19,0.8736028671264648,0.38425692915916443,0.8865504860877991,0.39349424839019775
20,0.8690006732940674,0.3933071494102478,0.8937849402427673,0.3715607523918152
21,0.8731919527053833,0.3848592936992645,0.892469584941864,0.38314875960350037
22,0.8725345134735107,0.3887709975242615,0.8895100355148315,0.38725292682647705
23,0.875246524810791,0.37556394934654236,0.898388683795929,0.36546042561531067
24,0.8711373805999756,0.39077138900756836,0.8931272625923157,0.37293243408203125
25,0.8757396340370178,0.38470715284347534,0.8908253908157349,0.38916176557540894
26,0.8725345134735107,0.383629709482193,0.8858928084373474,0.40128079056739807
27,0.8768901824951172,0.36705538630485535,0.8987175226211548,0.3692868649959564
28,0.8786160349845886,0.3754599392414093,0.8931272625923157,0.375004380941391
29,0.8768901824951172,0.375690758228302,0.8911542296409607,0.37544894218444824
30,0.8759862184524536,0.3695721924304962,0.8849062919616699,0.40054023265838623
31,0.872863233089447,0.3893173336982727,0.894442617893219,0.36467114090919495
32,0.8740959763526917,0.37635669112205505,0.8977310061454773,0.36389121413230896
33,0.8740137815475464,0.3808032274246216,0.8799737095832825,0.4183529317378998
34,0.8711373805999756,0.3826168477535248,0.8881946802139282,0.39703065156936646
35,0.8773010969161987,0.37792888283729553,0.8901677131652832,0.4044676721096039
36,0.8736850619316101,0.3811265230178833,0.9006905555725098,0.3766653835773468
37,0.8798487782478333,0.37405937910079956,0.896415650844574,0.37417295575141907
38,0.8749178051948547,0.3838478922843933,0.8921407461166382,0.4063960015773773
39,0.8834648132324219,0.3577130436897278,0.8872081637382507,0.40443140268325806
40,0.8785338401794434,0.36986273527145386,0.9020059108734131,0.3625742793083191
41,0.8791913390159607,0.36723360419273376,0.8977310061454773,0.382502019405365
42,0.8768901824951172,0.3711314797401428,0.8977310061454773,0.3808746337890625
43,0.8768080472946167,0.37478458881378174,0.8819467425346375,0.4243485927581787
44,0.8753287196159363,0.37718960642814636,0.9010193943977356,0.36036935448646545
45,0.8770545721054077,0.3772050440311432,0.9020059108734131,0.37126290798187256
46,0.8809993267059326,0.36718109250068665,0.8954291343688965,0.36887139081954956
47,0.8758218288421631,0.3751060962677002,0.8970733284950256,0.36981576681137085
48,0.8791913390159607,0.37111541628837585,0.9000328779220581,0.376533567905426
49,0.8817389607429504,0.36452004313468933,0.9016770720481873,0.35522741079330444
