epoch,accuracy,loss,val_accuracy,val_loss
0,0.6383135914802551,1.0876586437225342,0.8224268555641174,0.6088303327560425
1,0.8040762543678284,0.6200273036956787,0.8635317087173462,0.49716392159461975
2,0.8363741040229797,0.5164516568183899,0.8520223498344421,0.4963837265968323
3,0.8473865985870361,0.48376554250717163,0.8641893863677979,0.44964513182640076
4,0.8548651933670044,0.4627889096736908,0.8717527389526367,0.4406404197216034
5,0.8565910458564758,0.4494827687740326,0.88096022605896,0.41847795248031616
6,0.8588100075721741,0.428340882062912,0.8697797060012817,0.43397143483161926
7,0.8625903725624084,0.41931843757629395,0.8858928084373474,0.40626460313796997
8,0.865959882736206,0.409404456615448,0.8842486143112183,0.3994486331939697
9,0.8647271394729614,0.402172327041626,0.890496551990509,0.37559646368026733
10,0.8711373805999756,0.3950817584991455,0.888523519039154,0.3811013400554657
11,0.8723701238632202,0.39700496196746826,0.8951002955436707,0.37082523107528687
12,0.8709730505943298,0.39505088329315186,0.894442617893219,0.3761782646179199
13,0.8779585957527161,0.3719489574432373,0.8839197754859924,0.3942616283893585
14,0.8769723773002625,0.3857968747615814,0.8970733284950256,0.3650568723678589
15,0.8774654865264893,0.37527206540107727,0.8852351307868958,0.3978872299194336
16,0.8782051205635071,0.3691946268081665,0.8835909366607666,0.4014311730861664
17,0.8808349967002869,0.3686705231666565,0.8987175226211548,0.36624833941459656
18,0.882478654384613,0.3625098764896393,0.8918119072914124,0.38866090774536133
19,0.8774654865264893,0.36452826857566833,0.898388683795929,0.35369551181793213
20,0.8791091442108154,0.36708301305770874,0.8980598449707031,0.3615269064903259
21,0.8777120113372803,0.3715195059776306,0.896415650844574,0.3602886199951172
22,0.8810815215110779,0.36160558462142944,0.8954291343688965,0.36762046813964844
23,0.8809993267059326,0.36507081985473633,0.9013482332229614,0.34672078490257263
24,0.882478654384613,0.35753515362739563,0.8921407461166382,0.37968578934669495
25,0.8837935328483582,0.3505910038948059,0.8957579731941223,0.37735241651535034
26,0.8836292028427124,0.34597042202949524,0.8960868120193481,0.3562169373035431
27,0.8830538988113403,0.3554448187351227,0.890496551990509,0.3779166042804718
28,0.8859302997589111,0.34112975001335144,0.9010193943977356,0.3558681309223175
29,0.8878205418586731,0.344318687915802,0.8977310061454773,0.35374560952186584
30,0.889053225517273,0.3374442756175995,0.890496551990509,0.37366554141044617
31,0.8894641399383545,0.3410487174987793,0.9023347496986389,0.35430556535720825
32,0.8875739574432373,0.3470102548599243,0.9033212661743164,0.33922937512397766
33,0.8873274326324463,0.34340691566467285,0.9016770720481873,0.3509473204612732
34,0.8847797513008118,0.34308427572250366,0.896415650844574,0.36612454056739807
35,0.8835470080375671,0.35212650895118713,0.9039789438247681,0.340509831905365
36,0.8883135914802551,0.3411672115325928,0.9049654603004456,0.34405994415283203
37,0.8856015801429749,0.35045126080513,0.8977310061454773,0.36199066042900085
38,0.8888888955116272,0.3321482241153717,0.8970733284950256,0.3494049310684204
39,0.8861768841743469,0.34352782368659973,0.898388683795929,0.36500802636146545
40,0.8937376737594604,0.33335426449775696,0.9026635885238647,0.36190712451934814
41,0.8869165182113647,0.34408020973205566,0.9026635885238647,0.3459375500679016
42,0.8882314562797546,0.3392997980117798,0.9026635885238647,0.3444809317588806
43,0.8888067007064819,0.3334941565990448,0.8921407461166382,0.374433696269989
44,0.8867521286010742,0.33749067783355713,0.9039789438247681,0.33712267875671387
45,0.8854371905326843,0.3520820438861847,0.9020059108734131,0.360527902841568
46,0.894148588180542,0.3269311189651489,0.9049654603004456,0.33463865518569946
47,0.8867521286010742,0.34410327672958374,0.9010193943977356,0.3549937903881073
48,0.8916009068489075,0.3199457824230194,0.9006905555725098,0.3505525290966034
49,0.8903681635856628,0.32820752263069153,0.8993752002716064,0.3522258400917053
