Model,Accuracy,Macro_F1,Weighted_F1
MobileNetV3 (Baseline),0.9020059191055574,0.8921610785841878,0.9013974446112231
MobileNetV3 + CA,0.941137783623808,0.9325170445109006,0.9409402875039555
MobileNetV3 + SA,0.9049654718842486,0.8924325169309567,0.904386071934227
MobileNetV3 + CBAM,0.9414666228214403,0.9352865957485328,0.941383695570032
MobileNetV3 + HECA,0.9582374219006906,0.9526407424225027,0.9580746857268183
